/ # psql -U postgres
psql (17.8)
Type "help" for help.

postgres=# SELECT * FROM CHARACTERS;

 id  |                     name                      | status  |        species        |                type                |   gender   |                   origin                   |                  location                  |                           image                           | episode_count 
 156 | Hemorrhage                                    | Alive   | Human                 |                                    | Male       | Post-Apocalyptic Earth                     | Post-Apocalyptic Earth                     | https://rickandmortyapi.com/api/character/avatar/156.jpeg |             1
 157 | Hole in the Wall Where the Men Can See it All | unknown | unknown               | Hole                               | Genderless | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/157.jpeg |             1
 158 | Hookah Alien                                  | Alive   | Alien                 | Tuskfish                           | unknown    | unknown                                    | Interdimensional Customs                   | https://rickandmortyapi.com/api/character/avatar/158.jpeg |             1
 159 | Hunter                                        | Dead    | Human                 | Clone                              | Male       | Earth (Giant Telepathic Spiders Dimension) | Earth (Giant Telepathic Spiders Dimension) | https://rickandmortyapi.com/api/character/avatar/159.jpeg |             1
 160 | Hunters Father                                | Alive   | Human                 |                                    | Male       | Earth (Giant Telepathic Spiders Dimension) | Earth (Giant Telepathic Spiders Dimension) | https://rickandmortyapi.com/api/character/avatar/160.jpeg |             1
 161 | Hydrogen-F                                    | Alive   | Alien                 | Alphabetrian                       | Female     | Alphabetrium                               | Alphabetrium                               | https://rickandmortyapi.com/api/character/avatar/161.jpeg |             1
 162 | Ice-T                                         | Alive   | Alien                 | Alphabetrian                       | Male       | Alphabetrium                               | Alphabetrium                               | https://rickandmortyapi.com/api/character/avatar/162.jpeg |             1
 163 | Ideal Jerry                                   | Dead    | Mythological Creature | Mytholog                           | Male       | Nuptia 4                                   | Nuptia 4                                   | https://rickandmortyapi.com/api/character/avatar/163.jpeg |             1
 164 | Insurance Rick                                | unknown | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/164.jpeg |             1
 165 | Investigator Rick                             | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/165.jpeg |             1
 166 | Invisi-trooper                                | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/166.jpeg |             1
 167 | Izzy                                          | Alive   | Animal                | Cat                                | unknown    | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/167.jpeg |             1
 168 | Jackie                                        | Alive   | Alien                 | Gazorpian                          | Female     | Gazorpazorp                                | Gazorpazorp                                | https://rickandmortyapi.com/api/character/avatar/168.jpeg |             1
 169 | Jacob                                         | Alive   | Human                 |                                    | Male       | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/169.jpeg |             2
 170 | Jacqueline                                    | Alive   | Human                 |                                    | Female     | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/170.jpeg |             1
 171 | Jaguar                                        | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/171.jpeg |             1
 172 | Jamey                                         | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/172.jpeg |             1
 173 | Jan-Michael Vincent                           | Alive   | Human                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/173.jpeg |             1
 174 | Jerry 5-126                                   | Alive   | Human                 |                                    | Male       | Earth (5-126)                              | Jerryboree                                 | https://rickandmortyapi.com/api/character/avatar/174.jpeg |             1
 175 | Jerry Smith                                   | Alive   | Human                 |                                    | Male       | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/175.jpeg |             7
 176 | Celebrity Jerry                               | Alive   | Human                 |                                    | Male       | Earth (C-500A)                             | Earth (C-500A)                             | https://rickandmortyapi.com/api/character/avatar/176.jpeg |             1
 177 | Jerry Smith                                   | Alive   | Human                 |                                    | Male       | Earth (Evil Ricks Target Dimension)        | Earth (Evil Ricks Target Dimension)        | https://rickandmortyapi.com/api/character/avatar/177.jpeg |             1
 178 | Jerrys Mytholog                               | Dead    | Mythological Creature | Mytholog                           | Male       | Nuptia 4                                   | Nuptia 4                                   | https://rickandmortyapi.com/api/character/avatar/178.jpeg |             1
 179 | Jessica                                       | Alive   | Cronenberg            |                                    | Female     | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/179.jpeg |             3
 180 | Jessica                                       | Alive   | Human                 | Time God                           | Female     | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/180.jpeg |            12
 181 | Jessicas Friend                               | Alive   | Human                 |                                    | Female     | Earth (C-137)                              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/181.jpeg |             8
 182 | Jim                                           | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/182.jpeg |             1
 183 | Johnny Depp                                   | Alive   | Human                 |                                    | Male       | Earth (C-500A)                             | Earth (C-500A)                             | https://rickandmortyapi.com/api/character/avatar/183.jpeg |             1
 184 | Jon                                           | Alive   | Alien                 | Gazorpian                          | Male       | Gazorpazorp                                | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/184.jpeg |             1
 185 | Joseph Eli Lipkip                             | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/185.jpeg |             1
 186 | Joyce Smith                                   | Alive   | Human                 |                                    | Female     | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/186.jpeg |             1
 187 | Juggling Rick                                 | unknown | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/187.jpeg |             1
 188 | Karen Entity                                  | Alive   | Alien                 | Unknown-nippled alien              | Female     | Unitys Planet                              | Unitys Planet                              | https://rickandmortyapi.com/api/character/avatar/188.jpeg |             1
 235 | Mortytown Loco                                | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/235.jpeg |             1
 189 | Katarina                                      | Dead    | Human                 |                                    | Female     | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/189.jpeg |             1
 190 | Keara                                         | Alive   | Alien                 | Krootabulan                        | Female     | Krootabulon                                | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/190.jpeg |             1
 191 | Kevin                                         | Dead    | Alien                 | Zigerion                           | Male       | unknown                                    | Zigerions Base                             | https://rickandmortyapi.com/api/character/avatar/191.jpeg |             1
 192 | King Flippy Nips                              | Alive   | Alien                 | Plutonian                          | Male       | Pluto                                      | Pluto                                      | https://rickandmortyapi.com/api/character/avatar/192.jpeg |             1
 193 | King Jellybean                                | Dead    | Mythological Creature | Jellybean                          | Male       | Fantasy World                              | Fantasy World                              | https://rickandmortyapi.com/api/character/avatar/193.jpeg |             1
 194 | Kozbian                                       | Alive   | Alien                 | Tentacle alien                     | unknown    | unknown                                    | Planet Squanch                             | https://rickandmortyapi.com/api/character/avatar/194.jpeg |             1
 195 | Kristen Stewart                               | Alive   | Human                 |                                    | Female     | Earth (C-500A)                             | Earth (C-500A)                             | https://rickandmortyapi.com/api/character/avatar/195.jpeg |             1
 196 | Krombopulos Michael                           | Dead    | Alien                 | Gromflomite                        | Male       | unknown                                    | unknown                                    | https://rickandmortyapi.com/api/character/avatar/196.jpeg |             1
 197 | Kyle                                          | Dead    | Humanoid              | Miniverse inhabitant               | Male       | Zeep Xanflorps Miniverse                   | Kyles Teenyverse                           | https://rickandmortyapi.com/api/character/avatar/197.jpeg |             1
 198 | Lady Katana                                   | Dead    | Humanoid              | Cyborg                             | Female     | unknown                                    | Dorian 5                                   | https://rickandmortyapi.com/api/character/avatar/198.jpeg |             1
 199 | Larva Alien                                   | Alive   | Alien                 | Larva alien                        | unknown    | Larva Aliens Planet                        | Planet Squanch                             | https://rickandmortyapi.com/api/character/avatar/199.jpeg |             3
 200 | Lawyer Morty                                  | unknown | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/200.jpeg |             1
 201 | Leonard Smith                                 | Alive   | Human                 |                                    | Male       | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/201.jpeg |             1
 202 | Lighthouse Keeper                             | Dead    | Alien                 | Cat-Person                         | Male       | Purge Planet                               | Purge Planet                               | https://rickandmortyapi.com/api/character/avatar/202.jpeg |             1
 203 | Lil B                                         | Dead    | Alien                 | Snail alien                        | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/203.jpeg |             2
 204 | Lisa                                          | Dead    | Alien                 |                                    | Female     | unknown                                    | Immortality Field Resort                   | https://rickandmortyapi.com/api/character/avatar/204.jpeg |             1
 205 | Little Dipper                                 | Alive   | Humanoid              | Tinymouth                          | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/205.jpeg |             1
 206 | Lizard Morty                                  | Alive   | Humanoid              | Lizard-Person                      | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/206.jpeg |             1
 207 | Loggins                                       | Alive   | Alien                 | Alligator-Person                   | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/207.jpeg |             3
 208 | Logic                                         | Alive   | Human                 |                                    | Male       | unknown                                    | Worldenders lair                           | https://rickandmortyapi.com/api/character/avatar/208.jpeg |             1
 209 | Long Sleeved Morty                            | unknown | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/209.jpeg |             1
 210 | Lucy                                          | Dead    | Human                 |                                    | Female     | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/210.jpeg |             1
 211 | Ma-Sha                                        | Alive   | Alien                 | Gazorpian                          | Female     | Gazorpazorp                                | Gazorpazorp                                | https://rickandmortyapi.com/api/character/avatar/211.jpeg |             1
 212 | Magma-Q                                       | Dead    | Alien                 | Alphabetrian                       | Male       | Alphabetrium                               | Alphabetrium                               | https://rickandmortyapi.com/api/character/avatar/212.jpeg |             1
 213 | Magnesium-J                                   | Alive   | Alien                 | Alphabetrian                       | Male       | Alphabetrium                               | Alphabetrium                               | https://rickandmortyapi.com/api/character/avatar/213.jpeg |             1
 214 | Man Painted Silver Who Makes Robot Noises     | Alive   | Human                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/214.jpeg |             1
 215 | Maximums Rickimus                             | Dead    | Human                 |                                    | Male       | unknown                                    | Ricks Memories                             | https://rickandmortyapi.com/api/character/avatar/215.jpeg |             3
 216 | MC Haps                                       | Alive   | Human                 |                                    | Male       | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/216.jpeg |             3
 217 | Mechanical Morty                              | Dead    | Robot                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/217.jpeg |             1
 218 | Mechanical Rick                               | unknown | Robot                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/218.jpeg |             1
 219 | Mechanical Summer                             | unknown | Robot                 |                                    | Female     | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/219.jpeg |             1
 220 | Mega Fruit Farmer Rick                        | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/220.jpeg |             1
 221 | Melissa                                       | Alive   | Mythological Creature | Monster                            | Female     | Mr. Goldenfolds dream                      | Mr. Goldenfolds dream                      | https://rickandmortyapi.com/api/character/avatar/221.jpeg |             1
 222 | Michael Denny and the Denny Singers           | Alive   | Human                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/222.jpeg |             1
 223 | Michael Jenkins                               | Dead    | Human                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/223.jpeg |             1
 224 | Michael McLick                                | Alive   | Human                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/224.jpeg |             1
 225 | Michael Thompson                              | Alive   | Humanoid              | Conjoined twin                     | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/225.jpeg |             1
 226 | Million Ants                                  | Dead    | Animal                | Sentient ant colony                | Male       | unknown                                    | Worldenders lair                           | https://rickandmortyapi.com/api/character/avatar/226.jpeg |             1
 227 | Mitch                                         | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/227.jpeg |             1
 228 | Mohawk Guy                                    | Dead    | Human                 |                                    | Male       | Post-Apocalyptic Earth                     | Post-Apocalyptic Earth                     | https://rickandmortyapi.com/api/character/avatar/228.jpeg |             1
 229 | Morty Mart Manager Morty                      | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/229.jpeg |             1
 230 | Morty Jr.                                     | Alive   | Humanoid              | Human Gazorpian                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/230.jpeg |             1
 231 | Morty Rick                                    | unknown | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/231.jpeg |             1
 232 | Morty Smith                                   | Alive   | Human                 |                                    | Male       | Earth (Evil Ricks Target Dimension)        | Earth (Evil Ricks Target Dimension)        | https://rickandmortyapi.com/api/character/avatar/232.jpeg |             1
 233 | Morty K-22                                    | Alive   | Human                 |                                    | Male       | Earth (K-22)                               | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/233.jpeg |             1
 234 | Morty Smith                                   | Dead    | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/234.jpeg |             1
 236 | Mr. Beauregard                                | Dead    | Alien                 | Parasite                           | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/236.jpeg |             1
 237 | Mr. Benson                                    | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/237.jpeg |             1
 238 | Mr. Booby Buyer                               | Alive   | Mythological Creature | Boobie buyer reptilian             | Male       | Fantasy World                              | Fantasy World                              | https://rickandmortyapi.com/api/character/avatar/238.jpeg |             1
 239 | Mr. Goldenfold                                | Alive   | Cronenberg            |                                    | Male       | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/239.jpeg |             4
 240 | Mr. Goldenfold                                | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/240.jpeg |            10
 241 | Mr. Marklovitz                                | Alive   | Human                 |                                    | Male       | Earth (C-137)                              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/241.jpeg |             2
 242 | Mr. Meeseeks                                  | unknown | Humanoid              | Meeseeks                           | Male       | Mr. Meeseeks Box                           | Earth (Fascist Dimension)                  | https://rickandmortyapi.com/api/character/avatar/242.jpeg |             5
 243 | Mr. Needful                                   | Alive   | Humanoid              | The Devil                          | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/243.jpeg |             1
 244 | Mr. Poopybutthole                             | Alive   | Poopybutthole         |                                    | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/244.jpeg |             7
 245 | Mrs. Lipkip                                   | Alive   | Human                 |                                    | Female     | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/245.jpeg |             1
 246 | Mrs. Pancakes                                 | Alive   | Human                 |                                    | Female     | Earth (C-137)                              | Mr. Goldenfolds dream                      | https://rickandmortyapi.com/api/character/avatar/246.jpeg |             2
 247 | Amy Poopybutthole                             | Alive   | Poopybutthole         |                                    | Female     | unknown                                    | unknown                                    | https://rickandmortyapi.com/api/character/avatar/247.jpeg |             1
 248 | Mrs. Refrigerator                             | Dead    | Alien                 | Parasite                           | Female     | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/248.jpeg |             1
 249 | Mrs. Sanchez                                  | unknown | Human                 |                                    | Female     | unknown                                    | unknown                                    | https://rickandmortyapi.com/api/character/avatar/249.jpeg |             4
 250 | Mrs. Sullivan                                 | Dead    | Human                 | Cat controlled dead lady           | Female     | Earth (C-500A)                             | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/250.jpeg |             1
 251 | Nancy                                         | Alive   | Human                 |                                    | Female     | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/251.jpeg |             6
 252 | Noob-Noob                                     | Alive   | Poopybutthole         |                                    | Male       | unknown                                    | Vindicators Base                           | https://rickandmortyapi.com/api/character/avatar/252.jpeg |             1
 253 | Numbericon                                    | unknown | Alien                 | Numbericon                         | unknown    | unknown                                    | Alphabetrium                               | https://rickandmortyapi.com/api/character/avatar/253.jpeg |             1
 254 | Octopus Man                                   | Alive   | Humanoid              | Octopus-Person                     | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/254.jpeg |             1
 255 | Orthodox Jew                                  | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/255.jpeg |             1
 256 | Pat Gueterman                                 | Dead    | Robot                 |                                    | Male       | unknown                                    | Planet Squanch                             | https://rickandmortyapi.com/api/character/avatar/256.jpeg |             1
 257 | Paul Fleishman                                | Alive   | Human                 |                                    | Male       | unknown                                    | Jerryboree                                 | https://rickandmortyapi.com/api/character/avatar/257.jpeg |             1
 258 | Pawnshop Clerk                                | Alive   | Alien                 |                                    | Male       | unknown                                    | Pawn Shop Planet                           | https://rickandmortyapi.com/api/character/avatar/258.jpeg |             1
 259 | Pencilvester                                  | Dead    | Alien                 | Parasite                           | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/259.jpeg |             1
 260 | Phillip Jacobs                                | Alive   | Human                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/260.jpeg |             1
 261 | Photography Cyborg                            | unknown | Robot                 |                                    | Male       | unknown                                    | Planet Squanch                             | https://rickandmortyapi.com/api/character/avatar/261.jpeg |             1
 262 | Photography Raptor                            | Dead    | Alien                 | Parasite                           | unknown    | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/262.jpeg |             1
 263 | Pibbles Bodyguard                             | Alive   | Alien                 | Hairy alien                        | Male       | unknown                                    | St. Gloopy Noops Hospital                  | https://rickandmortyapi.com/api/character/avatar/263.jpeg |             1
 264 | Pichael Thompson                              | Alive   | Humanoid              | Conjoined twin                     | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/264.jpeg |             1
 265 | Pickle Rick                                   | Alive   | unknown               | Pickle                             | Male       | Earth (C-137)                              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/265.jpeg |             1
 266 | Piece of Toast                                | Alive   | unknown               | Bread                              | Genderless | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/266.jpeg |             2
 267 | Plumber Rick                                  | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/267.jpeg |             1
 268 | Poncho                                        | Dead    | Human                 |                                    | Male       | unknown                                    | Anatomy Park                               | https://rickandmortyapi.com/api/character/avatar/268.jpeg |             1
 269 | Presidentress of The Mega Gargantuans         | Alive   | Humanoid              | Mega Gargantuan                    | Female     | Mega Gargantuan Kingdom                    | Mega Gargantuan Kingdom                    | https://rickandmortyapi.com/api/character/avatar/269.jpeg |             1
 270 | Prince Nebulon                                | Dead    | Alien                 | Zigerion                           | Male       | unknown                                    | Zigerions Base                             | https://rickandmortyapi.com/api/character/avatar/270.jpeg |             1
 271 | Principal Vagina                              | Alive   | Cronenberg            |                                    | Male       | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/271.jpeg |             3
 272 | Principal Vagina                              | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/272.jpeg |             6
 273 | Purge Planet Ruler                            | Dead    | Alien                 | Cat-Person                         | Male       | Purge Planet                               | Purge Planet                               | https://rickandmortyapi.com/api/character/avatar/273.jpeg |             1
 274 | Quantum Rick                                  | unknown | Human                 |                                    | Male       | unknown                                    | Ricks Memories                             | https://rickandmortyapi.com/api/character/avatar/274.jpeg |             3
 275 | Randy Dicknose                                | Alive   | Human                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/275.jpeg |             1
 276 | Rat Boss                                      | Dead    | Animal                | Rat                                | unknown    | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/276.jpeg |             1
 277 | Real Fake Doors Salesman                      | Alive   | Human                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/277.jpeg |             1
 278 | Regional Manager Rick                         | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/278.jpeg |             1
 279 | Regular Legs                                  | Alive   | Human                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/279.jpeg |             1
 280 | Reverse Giraffe                               | Dead    | Alien                 | Parasite                           | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/280.jpeg |             1
 281 | Reverse Rick Outrage                          | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/281.jpeg |             1
 282 | Revolio Clockberg Jr.                         | unknown | Alien                 | Gear-Person                        | Male       | Gear World                                 | Gear World                                 | https://rickandmortyapi.com/api/character/avatar/282.jpeg |             3
 283 | Rick D. Sanchez III                           | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/283.jpeg |             1
 284 | Rick Guilt Rick                               | unknown | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/284.jpeg |             1
 285 | Rick Prime                                    | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/285.jpeg |             2
 286 | Rick D-99                                     | Dead    | Human                 |                                    | Male       | Earth (D-99)                               | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/286.jpeg |             1
 287 | Rick D716                                     | Dead    | Human                 |                                    | Male       | Earth (D716)                               | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/287.jpeg |             1
 288 | Rick D716-B                                   | Alive   | Human                 |                                    | Male       | Earth (D716-B)                             | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/288.jpeg |             1
 289 | Rick D716-C                                   | Alive   | Human                 |                                    | Male       | Earth (D716-C)                             | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/289.jpeg |             1
 290 | Rick Sanchez                                  | Dead    | Human                 |                                    | Male       | Earth (Evil Ricks Target Dimension)        | Earth (Evil Ricks Target Dimension)        | https://rickandmortyapi.com/api/character/avatar/290.jpeg |             1
 291 | Rick J-22                                     | Alive   | Human                 |                                    | Male       | Earth (J-22)                               | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/291.jpeg |             1
 292 | Rick K-22                                     | Alive   | Human                 |                                    | Male       | Earth (K-22)                               | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/292.jpeg |             1
 293 | Rick Sanchez                                  | Dead    | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/293.jpeg |             1
 294 | Ricktiminus Sancheziminius                    | Dead    | Human                 |                                    | Male       | unknown                                    | Ricks Memories                             | https://rickandmortyapi.com/api/character/avatar/294.jpeg |             3
 295 | Riq IV                                        | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/295.jpeg |             3
 296 | Risotto Groupon                               | Dead    | Alien                 | Blue ape alien                     | Male       | Resort Planet                              | Resort Planet                              | https://rickandmortyapi.com/api/character/avatar/296.jpeg |             1
 297 | Risottos Tentacled Henchman                   | Dead    | Alien                 | Tentacle alien                     | Male       | Resort Planet                              | Resort Planet                              | https://rickandmortyapi.com/api/character/avatar/297.jpeg |             1
 298 | Robot Morty                                   | unknown | Robot                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/298.jpeg |             1
 299 | Robot Rick                                    | unknown | Robot                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/299.jpeg |             1
 300 | Roger                                         | Dead    | Human                 |                                    | Male       | Earth (C-137)                              | Anatomy Park                               | https://rickandmortyapi.com/api/character/avatar/300.jpeg |             1
 301 | Ron Benson                                    | Alive   | Alien                 | Ring-nippled alien                 | Male       | Unitys Planet                              | Unitys Planet                              | https://rickandmortyapi.com/api/character/avatar/301.jpeg |             1
 302 | Ruben                                         | Dead    | Human                 |                                    | Male       | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/302.jpeg |             1
 303 | Samantha                                      | Alive   | Human                 |                                    | Female     | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/303.jpeg |             1
 304 | Scary Brandon                                 | Alive   | Mythological Creature | Monster                            | Male       | Mr. Goldenfolds dream                      | Mr. Goldenfolds dream                      | https://rickandmortyapi.com/api/character/avatar/304.jpeg |             1
 305 | Scary Glenn                                   | Alive   | Mythological Creature | Monster                            | Male       | Mr. Goldenfolds dream                      | Mr. Goldenfolds dream                      | https://rickandmortyapi.com/api/character/avatar/305.jpeg |             1
 306 | Scary Terry                                   | Alive   | Mythological Creature | Monster                            | Male       | Mr. Goldenfolds dream                      | Mr. Goldenfolds dream                      | https://rickandmortyapi.com/api/character/avatar/306.jpeg |             1
 307 | Scroopy Noopers                               | Alive   | Alien                 | Plutonian                          | Male       | Pluto                                      | Pluto                                      | https://rickandmortyapi.com/api/character/avatar/307.jpeg |             1
 308 | Scropon                                       | unknown | Alien                 | Lobster-Alien                      | Male       | unknown                                    | Planet Squanch                             | https://rickandmortyapi.com/api/character/avatar/308.jpeg |             2
 309 | Scrotian                                      | Alive   | Animal                | Scrotian                           | Male       | unknown                                    | Signus 5 Expanse                           | https://rickandmortyapi.com/api/character/avatar/309.jpeg |             4
 310 | Self-Congratulatory Jerry                     | unknown | Mythological Creature | Mytholog                           | Male       | Nuptia 4                                   | Nuptia 4                                   | https://rickandmortyapi.com/api/character/avatar/310.jpeg |             1
